GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,Estimate; Total: - Less than 5 minutes
HD02_VD03,Margin of Error; Total: - Less than 5 minutes
HD01_VD04,Estimate; Total: - 5 to 9 minutes
HD02_VD04,Margin of Error; Total: - 5 to 9 minutes
HD01_VD05,Estimate; Total: - 10 to 14 minutes
HD02_VD05,Margin of Error; Total: - 10 to 14 minutes
HD01_VD06,Estimate; Total: - 15 to 19 minutes
HD02_VD06,Margin of Error; Total: - 15 to 19 minutes
HD01_VD07,Estimate; Total: - 20 to 24 minutes
HD02_VD07,Margin of Error; Total: - 20 to 24 minutes
HD01_VD08,Estimate; Total: - 25 to 29 minutes
HD02_VD08,Margin of Error; Total: - 25 to 29 minutes
HD01_VD09,Estimate; Total: - 30 to 34 minutes
HD02_VD09,Margin of Error; Total: - 30 to 34 minutes
HD01_VD10,Estimate; Total: - 35 to 39 minutes
HD02_VD10,Margin of Error; Total: - 35 to 39 minutes
HD01_VD11,Estimate; Total: - 40 to 44 minutes
HD02_VD11,Margin of Error; Total: - 40 to 44 minutes
HD01_VD12,Estimate; Total: - 45 to 59 minutes
HD02_VD12,Margin of Error; Total: - 45 to 59 minutes
HD01_VD13,Estimate; Total: - 60 to 89 minutes
HD02_VD13,Margin of Error; Total: - 60 to 89 minutes
HD01_VD14,Estimate; Total: - 90 or more minutes
HD02_VD14,Margin of Error; Total: - 90 or more minutes
HD01_VD15,Estimate; Total: - Male:
HD02_VD15,Margin of Error; Total: - Male:
HD01_VD16,Estimate; Total: - Male: - Less than 5 minutes
HD02_VD16,Margin of Error; Total: - Male: - Less than 5 minutes
HD01_VD17,Estimate; Total: - Male: - 5 to 9 minutes
HD02_VD17,Margin of Error; Total: - Male: - 5 to 9 minutes
HD01_VD18,Estimate; Total: - Male: - 10 to 14 minutes
HD02_VD18,Margin of Error; Total: - Male: - 10 to 14 minutes
HD01_VD19,Estimate; Total: - Male: - 15 to 19 minutes
HD02_VD19,Margin of Error; Total: - Male: - 15 to 19 minutes
HD01_VD20,Estimate; Total: - Male: - 20 to 24 minutes
HD02_VD20,Margin of Error; Total: - Male: - 20 to 24 minutes
HD01_VD21,Estimate; Total: - Male: - 25 to 29 minutes
HD02_VD21,Margin of Error; Total: - Male: - 25 to 29 minutes
HD01_VD22,Estimate; Total: - Male: - 30 to 34 minutes
HD02_VD22,Margin of Error; Total: - Male: - 30 to 34 minutes
HD01_VD23,Estimate; Total: - Male: - 35 to 39 minutes
HD02_VD23,Margin of Error; Total: - Male: - 35 to 39 minutes
HD01_VD24,Estimate; Total: - Male: - 40 to 44 minutes
HD02_VD24,Margin of Error; Total: - Male: - 40 to 44 minutes
HD01_VD25,Estimate; Total: - Male: - 45 to 59 minutes
HD02_VD25,Margin of Error; Total: - Male: - 45 to 59 minutes
HD01_VD26,Estimate; Total: - Male: - 60 to 89 minutes
HD02_VD26,Margin of Error; Total: - Male: - 60 to 89 minutes
HD01_VD27,Estimate; Total: - Male: - 90 or more minutes
HD02_VD27,Margin of Error; Total: - Male: - 90 or more minutes
HD01_VD28,Estimate; Total: - Female:
HD02_VD28,Margin of Error; Total: - Female:
HD01_VD29,Estimate; Total: - Female: - Less than 5 minutes
HD02_VD29,Margin of Error; Total: - Female: - Less than 5 minutes
HD01_VD30,Estimate; Total: - Female: - 5 to 9 minutes
HD02_VD30,Margin of Error; Total: - Female: - 5 to 9 minutes
HD01_VD31,Estimate; Total: - Female: - 10 to 14 minutes
HD02_VD31,Margin of Error; Total: - Female: - 10 to 14 minutes
HD01_VD32,Estimate; Total: - Female: - 15 to 19 minutes
HD02_VD32,Margin of Error; Total: - Female: - 15 to 19 minutes
HD01_VD33,Estimate; Total: - Female: - 20 to 24 minutes
HD02_VD33,Margin of Error; Total: - Female: - 20 to 24 minutes
HD01_VD34,Estimate; Total: - Female: - 25 to 29 minutes
HD02_VD34,Margin of Error; Total: - Female: - 25 to 29 minutes
HD01_VD35,Estimate; Total: - Female: - 30 to 34 minutes
HD02_VD35,Margin of Error; Total: - Female: - 30 to 34 minutes
HD01_VD36,Estimate; Total: - Female: - 35 to 39 minutes
HD02_VD36,Margin of Error; Total: - Female: - 35 to 39 minutes
HD01_VD37,Estimate; Total: - Female: - 40 to 44 minutes
HD02_VD37,Margin of Error; Total: - Female: - 40 to 44 minutes
HD01_VD38,Estimate; Total: - Female: - 45 to 59 minutes
HD02_VD38,Margin of Error; Total: - Female: - 45 to 59 minutes
HD01_VD39,Estimate; Total: - Female: - 60 to 89 minutes
HD02_VD39,Margin of Error; Total: - Female: - 60 to 89 minutes
HD01_VD40,Estimate; Total: - Female: - 90 or more minutes
HD02_VD40,Margin of Error; Total: - Female: - 90 or more minutes
